ticker,
FLCB, $-   
FLQL, $-   
FSSAX, $-   
FVADX, $-   
GCIIX, $-   
GOVT, $-   
OMBIX, $-   
LSFYX," $8,001.00 "
PIMIX," $97,503.00 "
SPTM," $8,001.00 "
TBCIX," $8,001.00 "
TDADX, $-   
VWO, $-   
VOO," $8,001.00 "
WCMIX," $16,002.00 "
IWN," $1,173,505.00 "
APO, $-   
NEO," $8,001.00 "
RTN," $8,001.00 "
RDS.A," $91,003.00 "
TWST, $-   
UTX," $56,504.00 "
ACIW," $8,001.00 "
TRGP," $123,504.00 "
RXT," $48,503.00 "
CNK," $16,002.00 "
DCI," $56,504.00 "
MHK," $8,001.00 "
BPMP," $375,001.00 "
EMKR, $-   
ACST, $-   
CTRM, $-   
ADSK," $64,505.00 "
HZD," $8,001.00 "
IAU," $56,007.00 "
NTLA," $72,506.00 "
RHHBF," $16,002.00 "
BEEM," $32,501.00 "
TLRY," $65,002.00 "
FHB," $16,002.00 "
ITW," $40,005.00 "
PXD," $16,002.00 "
CSX, $-   
GSS," $8,001.00 "
ORMP," $16,002.00 "
BROS," $8,001.00 "
UHG, $-   
CRSP," $75,001.00 "
CIBR," $32,501.00 "
PEJ," $32,501.00 "
LRNZ," $65,002.00 "
WCLD," $75,001.00 "
GXO, $-   
GPS, $-   
TELL, $-   
LCID, $-   
HUYA," $371,508.00 "
BVALX, $-   
WPC," $24,003.00 "
KTB," $16,002.00 "
TROW," $8,001.00 "
DOW," $64,505.00 "
GLD," $56,504.00 "
ASXC, $-   
MASI, $-   
PHX, $-   
BTC-USD, $-   
PAGS," $8,001.00 "
PENN," $8,001.00 "
FAFTX, $-   
CMLTU, $-   
ETWO.W, $-   
GFN," $199,004.00 "
PCRX, $-   
TDC," $8,001.00 "
ADC, $-   
WDFC," $24,003.00 "
APHA, $-   
ESGC," $8,001.00 "
ERJ, $-   
IBTB," $8,001.00 "
